记录ID,标题,发布时间,省份,市,公告类型,来源平台,详情页URL,主品类,主品类-原始口径,全部命中品类,学段,是否学科网相关,已L2精读
001454363dd0fcba4ea2ad9dd419b314bb25,新绛县西关小学餐厅功能完善工程的采购公告,2026-07-26,山西省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/140000/0201/20260726/001454363dd0fcba4ea2ad9dd419b314bb25.html,食堂设备,食堂设备,食堂设备,小学,否,否
00124fd15c8bdb334bceb45a4f38dd8290aa,天津市武清区下朱庄街下朱庄中心小学 下朱庄街学校采购智慧黑板项目 (项目编号:WQCG2026-091)公开招标公告,2026-07-26,天津市,,采购/资审公告,天津市公共资源交易平台交易系统,https://www.ggzy.gov.cn/information/deal/html/a/120000/0201/20260726/00124fd15c8bdb334bceb45a4f38dd8290aa.html,智慧黑板,智慧黑板,智慧黑板,小学,是,否
0035bc85cb24780643da997c2fd3cf87458c,2026年第五届中国青少年足球联赛（福建赛区）小学年龄段比赛（小学年龄段U12男子组、U12女子组）竞争性谈判公告,2026-07-26,福建省,,采购/资审公告,漳州市公共资源交易中心,https://www.ggzy.gov.cn/information/deal/html/a/350000/0201/20260726/0035bc85cb24780643da997c2fd3cf87458c.html,其他,其他,,小学,否,否
002337e6e272267a450ba8c9775f73930d7d,宝清县第五小学足球场改造及附属工程建设项目,2026-07-26,黑龙江省,,采购/资审公告,黑龙江省公共资源交易网,https://www.ggzy.gov.cn/information/deal/html/a/230000/0201/20260726/002337e6e272267a450ba8c9775f73930d7d.html,校舍维修改造,校舍维修改造,校舍维修改造;工程配套,小学,否,否
006449414a48e306462590236cf14e5e0db9,固原市原州区第十四小学教育大数据应用试点项目招标公告,2026-07-26,宁夏回族自治区,,采购/资审公告,宁夏公共资源交易服务平台,https://www.ggzy.gov.cn/information/deal/html/a/640000/0201/20260726/006449414a48e306462590236cf14e5e0db9.html,其他,其他,,小学,否,否
004285960fd244ee4741b79c5c5f7b986c36,龙门小学运动场塑胶更新项目竞争性磋商公告,2026-07-26,湖北省,,采购/资审公告,湖北省政府采购网,https://www.ggzy.gov.cn/information/deal/html/a/420000/0201/20260726/004285960fd244ee4741b79c5c5f7b986c36.html,校舍维修改造,校舍维修改造,校舍维修改造,小学,否,否
00334a86f117756440fdb286d0b27f1bb84a,浙江名进建设项目管理有限公司关于乐清市北白象镇第一小学食堂厨房设备采购的公开招标公告,2026-07-26,浙江省,,采购/资审公告,温州市公共资源交易网,https://www.ggzy.gov.cn/information/deal/html/a/330000/0201/20260726/00334a86f117756440fdb286d0b27f1bb84a.html,食堂设备,食堂设备,食堂设备,小学,否,否
006102d791cda64a48f68ea9bcc27b8d0798,凤县义务教育学校扩优提质项目(第三小学专用设备采购项目)采购公告,2026-07-26,陕西省,,采购/资审公告,全国公共资源交易平台（陕西省）,https://www.ggzy.gov.cn/information/deal/html/a/610000/0201/20260726/006102d791cda64a48f68ea9bcc27b8d0798.html,其他,其他,,小学,否,否
00362ac09f253db9422496af1da4552d0521,江西嘉勋工程管理有限公司关于安远县龙布镇中心小学安远县龙布中心小学校舍维修及基础设施改造项目（项目编号：JXJX2026-AY-C001）电子化竞争性磋商采购公告,2026-07-26,江西省,,采购/资审公告,赣州市公共资源交易中心,https://www.ggzy.gov.cn/information/deal/html/a/360000/0201/20260726/00362ac09f253db9422496af1da4552d0521.html,校舍维修改造,校舍维修改造,校舍维修改造,小学,否,否
00149256fceae6c34d028a6c3204519cf1c0,临汾一中第一附属学校公开招标临汾一中第一附属学校小学部教学设施设备购置项目的采购公告,2026-07-25,山西省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/140000/0201/20260725/00149256fceae6c34d028a6c3204519cf1c0.html,其他,其他,,小学,否,否
0037b35afa3992384638997de0b594e59c07,青岛市崂山区崂发小学2026年物业管理服务竞争性磋商公告,2026-07-25,山东省,,采购/资审公告,青岛市公共资源交易 电子交易系统,https://www.ggzy.gov.cn/information/deal/html/a/370000/0201/20260725/0037b35afa3992384638997de0b594e59c07.html,后勤服务,其他,后勤服务,小学,否,否
005090d281ae06f346dc8db1bf184c0d838d,重庆市渝北区腾芳小学2026年教育教学设备采购项目(YBQ26A00509)询价公告,2026-07-25,重庆市,,采购/资审公告,重庆市公共资源交易服务平台,https://www.ggzy.gov.cn/information/deal/html/a/500000/0201/20260725/005090d281ae06f346dc8db1bf184c0d838d.html,教学仪器,教学仪器,教学仪器,小学,否,否
0042d7c18f39984844e4b325624805265fe7,巴东县茶店子镇中心小学新建学生食堂设备采购项目第二次公告,2026-07-25,湖北省,,采购/资审公告,湖北省政府采购网,https://www.ggzy.gov.cn/information/deal/html/a/420000/0201/20260725/0042d7c18f39984844e4b325624805265fe7.html,校舍维修改造,校舍维修改造,校舍维修改造;食堂设备,小学,否,否
0036e7acd73526d4487b9e89321ca4cd149f,江西柏盛工程管理有限公司关于宜丰县新昌镇第四小学运动场改造工程（项目编号：江西柏盛-YF2026-02）竞争性谈判采购公告,2026-07-25,江西省,,采购/资审公告,宜春市公共资源交易中心,https://www.ggzy.gov.cn/information/deal/html/a/360000/0201/20260725/0036e7acd73526d4487b9e89321ca4cd149f.html,校舍维修改造,校舍维修改造,校舍维修改造,小学,否,否
0036c022aa6a2068453a88485cccd7d30a39,赣州嘉宇招标代理有限公司关于于都县明德小学运动场提升改造工程（项目编号：GZJY2026-YD-C001）的不见面电子化竞争性磋商采购公告,2026-07-25,江西省,,采购/资审公告,赣州市公共资源交易中心,https://www.ggzy.gov.cn/information/deal/html/a/360000/0201/20260725/0036c022aa6a2068453a88485cccd7d30a39.html,校舍维修改造,校舍维修改造,校舍维修改造,小学,否,否
003662fd1b3df2044cd5bfd7023fc2934cbf,江西新明工程服务有限公司关于2026年城区小学功能室设备采购项目(第二次)（项目编号：JXXM-PX-2026-C004-1）竞争性谈判公告,2026-07-25,江西省,,采购/资审公告,萍乡市公共资源交易中心,https://www.ggzy.gov.cn/information/deal/html/a/360000/0201/20260725/003662fd1b3df2044cd5bfd7023fc2934cbf.html,实验室设备,实验室设备,实验室设备,小学,否,否
003651c8790ef937452c95ebdde3d3205b01,江西省博远工程管理有限公司关于安远县车头镇中心小学球场跑道及其周边设施改造项目（项目编号：JXBY2026-AY-C015）的竞争性磋商公告,2026-07-25,江西省,,采购/资审公告,赣州市公共资源交易中心,https://www.ggzy.gov.cn/information/deal/html/a/360000/0201/20260725/003651c8790ef937452c95ebdde3d3205b01.html,校舍维修改造,校舍维修改造,校舍维修改造,小学,否,否
003629fcef3ae288496dbdadc2471f5c4835,新干三中等中小学课桌椅采购项目,2026-07-25,江西省,,采购/资审公告,吉安市公共资源交易中心,https://www.ggzy.gov.cn/information/deal/html/a/360000/0201/20260725/003629fcef3ae288496dbdadc2471f5c4835.html,课桌椅,课桌椅,课桌椅,教育局统筹,否,否
0041c870f65e0b9f403babbbcac65719f217,洛阳市涧西区教育局涧西区公办中小学校大宗食材（米、面、油、肉、蛋、奶）采购及配送项目-征集公告,2026-07-24,河南省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/410000/0201/20260724/0041c870f65e0b9f403babbbcac65719f217.html,后勤服务,其他,后勤服务,教育局统筹,否,否
00134f4083ba5c574b0f9397599d8a1baaa9,廊坊经济技术开发区文教卫生局小学部课堂实录分析系统采购项目公开招标交易公告,2026-07-24,河北省,,采购/资审公告,廊坊市公共资源交易中心,https://www.ggzy.gov.cn/information/deal/html/a/130000/0201/20260724/00134f4083ba5c574b0f9397599d8a1baaa9.html,信息化设备,信息化设备,信息化设备,小学,是,否
00113ee14dbfc9d442d2982907eb719d76e7,2026年房山区中小学校园食堂质量提升预算项目（设备购置3）公开招标公告,2026-07-24,北京,,采购/资审公告,北京市政府采购网,https://www.ggzy.gov.cn/information/deal/html/a/110000/0201/20260724/00113ee14dbfc9d442d2982907eb719d76e7.html,食堂设备,食堂设备,食堂设备,教育局统筹,否,否
0043c38dd813b43141639fda055017c21d8e,长沙市龙塘小学2026年秋季扩班建设及设施设备采购招标公告,2026-07-24,湖南省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/430000/0201/20260724/0043c38dd813b43141639fda055017c21d8e.html,其他,其他,,小学,否,否
0042d0142969aefd4a9990f5e31153698810,广水市第二实验小学综合楼维修改造项目公告,2026-07-24,湖北省,,采购/资审公告,湖北省政府采购网,https://www.ggzy.gov.cn/information/deal/html/a/420000/0201/20260724/0042d0142969aefd4a9990f5e31153698810.html,校舍维修改造,校舍维修改造,校舍维修改造,小学,否,否
0037fb901851e92c47ebb656c017612c8b7f,曲阜市鲁城街道孔子中学舞雩坛小学铭志楼维修加固工程竞争性磋商公告,2026-07-24,山东省,,采购/资审公告,济宁市公共资源交易服务平台,https://www.ggzy.gov.cn/information/deal/html/a/370000/0201/20260724/0037fb901851e92c47ebb656c017612c8b7f.html,校舍维修改造,校舍维修改造,校舍维修改造,小学,否,否
004486a817408b404b3d9f68b6e8cf61219d,惠州仲恺高新区2026年公办中小学校教学服务辅助项目招标公告,2026-07-24,广东省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/440000/0201/20260724/004486a817408b404b3d9f68b6e8cf61219d.html,其他,其他,,教育局统筹,否,否
00137f43e5bc124449179411b282dcc75190,石家庄市谈固东街小学设施设备采购项目公开招标公告,2026-07-24,河北省,,采购/资审公告,石家庄公共资源交易网,https://www.ggzy.gov.cn/information/deal/html/a/130000/0201/20260724/00137f43e5bc124449179411b282dcc75190.html,其他,其他,,小学,否,否
00655a53e816a7b54772967f7e359aeced39,柯坪县湖州小学维修改造项目竞争性磋商公告,2026-07-24,新疆维吾尔自治区,,采购/资审公告,新疆维吾尔自治区公共资源交易平台,https://www.ggzy.gov.cn/information/deal/html/a/650000/0201/20260724/00655a53e816a7b54772967f7e359aeced39.html,校舍维修改造,校舍维修改造,校舍维修改造,小学,否,否
0012b66d5e1e57cb4b1689f071eff1186137,天津市津南区教育局机关 津南实验小学合祥园校区提升改造项目 (项目编号:JZD-TJ26-032)竞争性磋商公告,2026-07-24,天津市,,采购/资审公告,天津市公共资源交易平台交易系统,https://www.ggzy.gov.cn/information/deal/html/a/120000/0201/20260724/0012b66d5e1e57cb4b1689f071eff1186137.html,校舍维修改造,校舍维修改造,校舍维修改造,教育局统筹,否,否
0062e33d5d56b631402fb878498d287d0c3d,白银区第十二小学教学楼外窗及外墙维修改造项目-竞争性磋商招标公告,2026-07-24,甘肃省,,采购/资审公告,白银市公共资源交易平台,https://www.ggzy.gov.cn/information/deal/html/a/620000/0201/20260724/0062e33d5d56b631402fb878498d287d0c3d.html,校舍维修改造,校舍维修改造,校舍维修改造,小学,否,否
00411b073a1a1cf942fbbf34ce9cdc161f9b,陕州小学运动场改扩建项目（塑胶跑道及硅PU篮球场采购）-竞争性磋商公告,2026-07-24,河南省,,采购/资审公告,三门峡市公共资源交易中心,https://www.ggzy.gov.cn/information/deal/html/a/410000/0201/20260724/00411b073a1a1cf942fbbf34ce9cdc161f9b.html,校舍维修改造,校舍维修改造,校舍维修改造;工程配套,小学,否,否
00358addf8ab06d3451e806ced2c2b8e2851,黄石中心小学物业管理服务项目(三次)竞争性磋商公告,2026-07-24,福建省,,采购/资审公告,莆田市行政服务中心,https://www.ggzy.gov.cn/information/deal/html/a/350000/0201/20260724/00358addf8ab06d3451e806ced2c2b8e2851.html,后勤服务,其他,后勤服务,小学,否,否
0011ea1b45a814d54e4d9077432e1574433f,北京市通州区中小学校办学装备提升项目（包1：实验室成套设备一、包2：实验室成套设备二、包3：实验室成套设备三、包4：实验室成套设备四）公开招标公告,2026-07-24,北京,,采购/资审公告,北京市政府采购网,https://www.ggzy.gov.cn/information/deal/html/a/110000/0201/20260724/0011ea1b45a814d54e4d9077432e1574433f.html,实验室设备,实验室设备,实验室设备,教育局统筹,否,否
004103d2d9e4e9ca4d3dbabc0ce80f874a13,漯河市源汇区许慎小学许慎小学校园整体运动场地改造维护提升项目-竞争性磋商公告,2026-07-24,河南省,,采购/资审公告,漯河市公共资源交易中心,https://www.ggzy.gov.cn/information/deal/html/a/410000/0201/20260724/004103d2d9e4e9ca4d3dbabc0ce80f874a13.html,校舍维修改造,校舍维修改造,校舍维修改造,小学,否,否
002257dc5512eb984b33a0430516c28b796c,吉林省裕顺工程咨询有限公司关于长春市绿园区春阳小学食堂改造工程的竞争性磋商公告,2026-07-24,吉林省,,采购/资审公告,长春市公共资源交易中心(新),https://www.ggzy.gov.cn/information/deal/html/a/220000/0201/20260724/002257dc5512eb984b33a0430516c28b796c.html,校舍维修改造,校舍维修改造,校舍维修改造;食堂设备;后勤服务,小学,否,否
0011760e72b26ce645dd939558d535927fc2,2026年房山区中小学校园食堂质量提升预算项目（设备购置2） 公开招标公告,2026-07-24,北京,,采购/资审公告,北京市政府采购网,https://www.ggzy.gov.cn/information/deal/html/a/110000/0201/20260724/0011760e72b26ce645dd939558d535927fc2.html,食堂设备,食堂设备,食堂设备,教育局统筹,否,否
00449a4f270a84b348b08d663b605dfcb6c7,乐从镇8所中小学消防维修工程竞争性磋商公告,2026-07-24,广东省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/440000/0201/20260724/00449a4f270a84b348b08d663b605dfcb6c7.html,校舍维修改造,校舍维修改造,校舍维修改造;校园安防,教育局统筹,否,否
00515d6151b5ef9e4f6dbe2815f0d76d59ef,内江市实验小学校采购厨房设备招标公告,2026-07-24,四川省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/510000/0201/20260724/00515d6151b5ef9e4f6dbe2815f0d76d59ef.html,食堂设备,食堂设备,食堂设备,小学,否,否
0011703151dc700442a0bcd159476d1499e9,2026年房山区中小学校园食堂质量提升预算项目（设备购置1）公开招标公告,2026-07-24,北京,,采购/资审公告,北京市政府采购网,https://www.ggzy.gov.cn/information/deal/html/a/110000/0201/20260724/0011703151dc700442a0bcd159476d1499e9.html,食堂设备,食堂设备,食堂设备,教育局统筹,否,否
