日期,竞品名,项目名称,中标金额(万元),采购单位,省份,信息来源,备注
2026-07-24,广西广电网络科技发展有限公司,广西建荣工程项目管理有限公司关于河池市金城江区2022年教育攻坚项目--金城江区第十五小学教育信息化设备采购工程 (HCZB2026-G1-003-GXJR) 中标结果公告,1242.38,待核实,广西壮族自治区,https://www.ggzy.gov.cn/information/deal/html/b/450000/0202/20260724/004515614f109df847cc91704c9aad01ffbb.html,A口径L2精读；主品类=信息化；证据等级=A（平台原始公告）；金额原文=中标 金额： 壹仟贰佰肆拾贰万叁仟捌佰贰拾肆元伍角玖分（ ¥12423824.59
2026-07-24,中关村科学城城市大脑股份有限公司,河池市金城江区2022年教育攻坚项目--金城江区第十四小学教育信息化设备采购工程(KWMD2G2026017)  中标结果公告,1426.74,待核实,广西壮族自治区,https://www.ggzy.gov.cn/information/deal/html/b/450000/0202/20260724/0045cd0c7b53b382405db68da514b547f2ab.html,A口径L2精读；主品类=信息化；证据等级=A（平台原始公告）；金额原文=中标 金额： 壹仟肆佰贰拾陆万柒仟肆佰贰拾叁元零捌分（￥ 14267423.08元
2026-07-24,武夷山市旭峰商贸有限公司,南平市延平区实验小学多功能录播室设施设备采购结果公告（采购包1）,66.83,待核实,福建省,https://www.ggzy.gov.cn/information/deal/html/b/350000/0202/20260724/0035a1c9d83513f245679882a3e375292d7d.html,"A口径L2精读；主品类=信息化设备；证据等级=A（平台原始公告）；金额原文=668,300.00元"
2026-07-24,齐鲁师范学院,大武口区教学研究室石嘴山市大武口区2026年国培计划GP26009县级骨干教师培养对象培训项目-（学前教育、中小学道德与法治、中小学信息科技）第三标包：中小学信息科技中标公告,25.8,待核实,宁夏回族自治区,https://www.ggzy.gov.cn/information/deal/html/b/640000/0202/20260724/00646c2c1f35455c440986b8f267cb3a13cd.html,A口径L2精读；主品类=培训；证据等级=A（平台原始公告）；金额原文=258000
2026-07-24,青海华捷电子科技有限公司,西宁市城中区政府采购服务中心关于春晖小学信息化建设项目中标(成交)结果公告,135.53,待核实,青海省,https://www.ggzy.gov.cn/information/deal/html/b/630000/0202/20260724/0063ca5d9be2f7034180988404af3663ead3.html,"A口径L2精读；主品类=信息化；证据等级=A（平台原始公告）；金额原文=中标单位:青海华捷电子科技有限公司,中标价格:1355288"
2026-07-24,内蒙古敕勒川汇产聚能服务有限公司,土默特左旗教育局土默特左旗中小学租赁人工智能与机器人教育设备项目中标（成交）结果公告,待核实,待核实,内蒙古自治区,https://www.ggzy.gov.cn/information/deal/html/b/150000/0202/20260724/001510fa9e5a56dc4310bdf688d6ac70eb9c.html,A口径L2精读；主品类=人工智能；证据等级=A（平台原始公告）；L2状态=无金额字段；金额原文=否
2026-07-24,义马市产兴科技有限公司,义马市实验小学智慧校园建设(数字教育资源)项目-中标公告,69.5,待核实,河南省,https://www.ggzy.gov.cn/information/deal/html/b/410000/0202/20260724/0041c5ce4fbfe61b42988c267a42231bb1fb.html,A口径L2精读；主品类=智慧校园；证据等级=A（平台原始公告）；金额原文=695000.00
2026-07-24,西藏炬阳信息技术有限公司,米林市中学、市小学、多卡小学云机房建设项目中标公告,待核实,待核实,西藏自治区,https://www.ggzy.gov.cn/information/deal/html/b/540000/0202/20260724/0054af6040795bd44127a9657c562b920b51.html,A口径L2精读；主品类=信息化设备；证据等级=A（平台原始公告）；L2状态=无金额字段
2026-07-24,大冶市华创电子科技有限公司,大冶市罗家桥街道办事处桃花小学大冶市第六实验学校（高中部）改造电脑采购项目（二次）中标（成交）结果公告,待核实,待核实,湖北省,https://www.ggzy.gov.cn/information/deal/html/b/420000/0202/20260724/004280f0c6a9eeb441c0a0dd274909164094.html,A口径L2精读；主品类=信息化设备；证据等级=A（平台原始公告）；L2状态=无金额字段
2026-07-24,河北浩泽天成商贸有限公司,井陉县中小学智慧黑板采购项目中标公告,待核实,待核实,河北省,https://www.ggzy.gov.cn/information/deal/html/b/130000/0202/20260724/00133fcc1bd294a24fcd9fefcf7c2e533dc2.html,A口径L2精读；主品类=智慧黑板；证据等级=A（平台原始公告）；L2状态=无金额字段
2026-07-23,秀山县雅博科技有限公司,秀山县2026年中小学触控一体机设备采购(XSX26A00403)中标（成交）结果公告,待核实,待核实,重庆市,https://www.ggzy.gov.cn/information/deal/html/b/500000/0202/20260723/0050c3284e59d91841bba2154c56feae6417.html,A口径L2精读；主品类=大屏；证据等级=A（平台原始公告）；金额原文=37
2026-07-23,秀山毅进数码科技开发有限公司,秀山县2026年中小学触控一体机设备采购(XSX26A00403)中标（成交）结果公告,待核实,待核实,重庆市,https://www.ggzy.gov.cn/information/deal/html/b/500000/0202/20260723/0050c3284e59d91841bba2154c56feae6417.html,A口径L2精读；主品类=大屏；证据等级=A（平台原始公告）；金额原文=36.81
